example,query_index,query_genre,query_caption,query_audio,rank_1_audio,rank_1_genre,rank_1_similarity,rank_1_caption,rank_2_audio,rank_2_genre,rank_2_similarity,rank_2_caption,rank_3_audio,rank_3_genre,rank_3_similarity,rank_3_caption
1,0,metal,"The song is instrumental.The tempo is fast with a strong metal drumming rhythm, groovy bass line, cymbals crashing, guitar lead and guitar rhythm. The song is chaotic and energetic. The song has very poor audio quality.",metal.00053.pkl,metal.00019.pkl,metal,0.6239434480667114,The song is an instrumental. The song is fast tempo with distorted guitars playing in rhythm. The song is energetic and an amateurish performance. The song is of very poor quality with audio noise and hissing sound.,rock.00092.pkl,rock,0.6201167106628418,"The low quality recording features a compilation of rock songs in-between which there is a flat male vocal talking. At the very beginning there is a short snippet of a groovy piano melody and fruity male vocal singing over it. After that, there is an even shorter snippet of a song that consists of acoustic rhythm guitar and a male vocalist singing over it. And at the end of the loop, there is a fade in into a flat male vocal singing with background vocals over punchy kick, punchy snare, shimmering cymbals, distorted bass guitar and electric guitar melody. Overall it sounds weird and chaotic, due to the arrangement of the sounds, but it is also energetic.",metal.00060.pkl,metal,0.6149005889892578,"This music is an electric guitar lead instrumental. The tempo is slow with no accompaniment and ambient sounds like a popping and swishing sound. The music is a rhythmic, controlled, pleasant, melancholic, sentimental and emotional Electric guitar solo."
2,8,jazz,"This is an instrumental jazz improvisation piece with heavy bossa nova influences. There is an over-arching bossa nova syncopation not only being played by the acoustic drums in the backing track but also followed by the electric rhythm guitar and the bass guitar. The lead is a guitar solo being played by a gentle sounding electric guitar. Although there are complex chords and riffs, the general atmosphere is tranquil. This piece could be playing in the background of a restaurant. It could also be included in the soundtrack of a movie during serene scenery.",jazz.00020.pkl,country.00093.pkl,country,0.5330345630645752,This song comes with a male voice singing in a higher key and strings playing the same melody in the background in the midrange. A timpani hit is playing along with the drums. This song may be playing in a latin country where someone is cleaning the house with open doors and windows listening to this song in a very loud volume.,jazz.00048.pkl,jazz,0.5286074876785278,"A male singer sings this groovy bop tune. The song is medium tempo with a groovy double bass playing, piano accompaniment, trumpet playing percussively and brush drumming rhythm. The song is entertaining and exciting. The song is a jazz dance tune with an electronica twist.",jazz.00028.pkl,jazz,0.5260587334632874,"The Video Game Sound recording features a lot of in-game sound effects of the main character and his surroundings, followed by background, jazzy music in the background. The music contains funky piano chord progression, groovy bass and uptempo drums. There are some man grunts sound effects, funny spring sound effects, some beeping sound effects and at the very end of the loop a gun reload sound effect."
3,16,rock,A drone sound is playing in the lower to mid range as an intro before the song starts with a high pitched bell sound with a very long release time and acoustic drums that sounds like playing behind a closed door. This song may be playing in a club.,rock.00003.pkl,metal.00030.pkl,metal,0.5228476524353027,This is an instrumental harp cover of a heavy metal music piece. The atmosphere of the recording is lively. This piece could be used in the soundtrack of an arcade video game. It could also be sampled for use in beat-making.,rock.00074.pkl,rock,0.5227565765380859,This is an amateur recording of a guitar solo for a rock music piece. The solo is being played on an overdriven electric guitar while the piano and the bass guitar in the backing track play the main tune. There is a 6/8 rock beat played on the acoustic drums for the rhythm section. There is a raw feel to it. The piece can be used to gather electric guitar samples to be used in beat-making.,rock.00083.pkl,rock,0.516520619392395,"An acoustic drum with a lot of reverb is playing a minimalistic slow groove along with an e-bass playing long single notes. A synth hit comes in for a moment and then an e-guitar is talking over it with a melody. The male voice sings with a lot of reverb, reverb and a chorus/flanger on his voice. The whole recording is full of reverb and the voice of the singer is using a ping pong delay. This song may be playing on a lazy day at home."
4,25,blues,"A female singer sings this soulful song. The song is slow tempo with piano accompaniment, strong bass line and groovy jazz drumming. The song is soulful and emotional. The song is a blues jazz song.",blues.00097.pkl,country.00093.pkl,country,0.5297551155090332,This song comes with a male voice singing in a higher key and strings playing the same melody in the background in the midrange. A timpani hit is playing along with the drums. This song may be playing in a latin country where someone is cleaning the house with open doors and windows listening to this song in a very loud volume.,jazz.00048.pkl,jazz,0.5272386074066162,"A male singer sings this groovy bop tune. The song is medium tempo with a groovy double bass playing, piano accompaniment, trumpet playing percussively and brush drumming rhythm. The song is entertaining and exciting. The song is a jazz dance tune with an electronica twist.",jazz.00028.pkl,jazz,0.5210492014884949,"The Video Game Sound recording features a lot of in-game sound effects of the main character and his surroundings, followed by background, jazzy music in the background. The music contains funky piano chord progression, groovy bass and uptempo drums. There are some man grunts sound effects, funny spring sound effects, some beeping sound effects and at the very end of the loop a gun reload sound effect."
5,33,hiphop,This is a pop music piece. There is a male vocalist singing at a medium-to-high pitch in the lead. There is a melodic pad and an electric guitar sound providing the melody. A strong bass sound can be heard playing. The rhythm consists of a simple electronic drum beat. The atmosphere is energetic and danceable. This piece can be played at nightclubs and dance clubs. It could also be used during club scenes in movies.,hiphop.00022.pkl,reggae.00050.pkl,reggae,0.5320659279823303,"A female singer sings this passionate melody. The song is medium tempo with steady drumming rhythm, groovy bass line, Caribbean percussion, guitar accompaniment and a brass band playing percussively. The song is emotional and spirited. The song is a classic renege hit.",pop.00058.pkl,pop,0.5313117504119873,"The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad chords and groovy synth bass. It sounds energetic, nostalgic and exciting - like something you would hear in clubs during the 80s.",hiphop.00062.pkl,hiphop,0.5295631885528564,"A male singer sings this rap vocals with backup singers in harmony. The song is medium tempo with typing and beeping tones, followed by steady drumming rhythm, groovy bass and keyboard harmony. The song is energetic and exciting. The song has a home video intro followed by a rap song."
6,42,hiphop,"A male vocalist sings this spirited rap. The tempo is medium with keyboard accompaniment, digital drums,electric guitar riff and synthesiser arrangements with vocal backup. The song is passionate, compelling, strong telling, chanting, persuasive and youthful. This song is Contemporary Rap-Hip-Hop.",hiphop.00099.pkl,hiphop.00016.pkl,hiphop,0.6080933213233948,"The low quality recording features wide scratching effects of an uptempo hip hop song that contains repetitive male vocal, wooden percussive elements, siren sound effect and energetic drums. It sounds energetic, muffled and a bit harsh due to loud scratchings.",hiphop.00018.pkl,hiphop,0.6048359870910645,"Male vocalist sings this upbeat Hip-Hop song. The tempo is fast with minimal instrumentation of a lively infectious, punchy drumming and enthusiastic vocal backup and incessant, vigorous vocalisation. The song is buoyant, catchy, punchy, funky, youthful,groovy, engaging, vibrant and vivacious. This song is contemporary Hip-Hop/Rap.",reggae.00031.pkl,reggae,0.6026428937911987,"The low quality recording features a reggae song sung by low flat male vocals, followed by repetitive synth lead melody, groovy bass, vocal chants, claps, punchy kick hits, shimmering hi hats and open hats. It sounds energetic, suspenseful and it is in mono. At one point the vocal cracks and it sounds out of tune for a split second."
7,50,pop,"This song is a Retro electronic instrumental. The tempo is fast with electronically arranged music, slick drumming, bright amplified keyboard harmony, tambourine beats,synthesiser arrangements and male and female vocalisation. The song is youthful, groovy,vibrant, upbeat, passionate, catchy and punchy. This song is a Retro EDM.",pop.00025.pkl,hiphop.00029.pkl,hiphop,0.6231842637062073,This song contains a thick acoustic drum sample playing a slow hiphop groove with a simple bassline. A female voice sample is singing while a male voice is rapping. his voice sounds doubled. This song may be playing in an urban shop.,reggae.00050.pkl,reggae,0.6231518983840942,"A female singer sings this passionate melody. The song is medium tempo with steady drumming rhythm, groovy bass line, Caribbean percussion, guitar accompaniment and a brass band playing percussively. The song is emotional and spirited. The song is a classic renege hit.",pop.00058.pkl,pop,0.6175500750541687,"The low quality recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad chords and groovy synth bass. It sounds energetic, nostalgic and exciting - like something you would hear in clubs during the 80s."
8,59,country,The song is a slow country song - a country ballad played on a steel guitar. This is the type of song that would be suitable for an old country western movie where a hero character walks into a diner. This is a live recording and the song has a slow tempo.,country.00068.pkl,country.00094.pkl,country,0.592754065990448,"This music is instrumental. The tempo is slow with an acoustic guitar harmony, loud electric guitar feedback and fiddle. The music is intense, rugged, vivid, melancholic, pensive, raw, powerful, emphatic and strong. This music is classic Blues Country Music.",country.00016.pkl,country,0.5871198773384094,"This is a country music piece. There is a female vocalist singing melodically at the forefront. The melodic background consists of the electric guitar, the bass guitar and the piano. The rhythmic background is provided by a simple acoustic drum beat. The atmosphere is upbeat and easygoing. This piece could be playing in the background at a rock bar. It could also work well as an advertisement jingle.",blues.00002.pkl,blues,0.5812290906906128,This instrumental song features a guitar played clean in the beginning and then switching to an overdrive sound. There are no other instruments in this song. There are no voices in this song. The mood of this song is bluesy.
9,67,classical,"This is a classical music piece played on the viola da gamba and the harpsichord. The performance is live, and the song has a refreshing, light and fun ""Spring"" feel to it.",classical.00006.pkl,classical.00027.pkl,classical,0.6430302858352661,"A classical, slightly jazzy piano is playing a lovely composition with a lot of reverb. During the song you can hear footsteps. Someone is running through water. Then at the end someone is burping really loud. This whole composition with the burping could be part of a funny embarrassing scene in a movie.",classical.00047.pkl,classical,0.6299535036087036,This song is played on a harpsichord. The harpsichord plays the bass and treble notes. This is a classical composition. There are no other instruments in this song. There are no voices in this song. This song can be used when a member of royalty arrives at a palace.,classical.00077.pkl,classical,0.6228705644607544,"The song is instrumental. The tempo is medium with sitars and other stringed instruments playing in unison, tabla percussions and a harmonium playing the lead. The song is a classic hindustaani instrumental."
10,76,country,"Punk rock with a country twang, featuring an acoustic guitar strumming, an overdriven electric guitar playing lead, multiple male vocalists, male background vocals and a simple chord progression. The drums play an uptempo country beat, or ""train beat"" more specifically. The kind of band you might hear at a pub in a semi-rural suburb.",country.00072.pkl,rock.00083.pkl,rock,0.6043393611907959,"An acoustic drum with a lot of reverb is playing a minimalistic slow groove along with an e-bass playing long single notes. A synth hit comes in for a moment and then an e-guitar is talking over it with a melody. The male voice sings with a lot of reverb, reverb and a chorus/flanger on his voice. The whole recording is full of reverb and the voice of the singer is using a ping pong delay. This song may be playing on a lazy day at home.",metal.00030.pkl,metal,0.5879197120666504,This is an instrumental harp cover of a heavy metal music piece. The atmosphere of the recording is lively. This piece could be used in the soundtrack of an arcade video game. It could also be sampled for use in beat-making.,rock.00074.pkl,rock,0.5694511532783508,This is an amateur recording of a guitar solo for a rock music piece. The solo is being played on an overdriven electric guitar while the piano and the bass guitar in the backing track play the main tune. There is a 6/8 rock beat played on the acoustic drums for the rhythm section. There is a raw feel to it. The piece can be used to gather electric guitar samples to be used in beat-making.
