genre,graph_path,feature_path,ytid,caption,tags,split
jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00040.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00040.npy,wXmIm6Bq3Tc,The music features a mix between jazz and soul music. The instrumental is easygoing and fun. A male singer with a seductive and appealing voice sings a fun melody. A saxophone plays a melody in the background that adds texture to the instrumental. The music is a live recording of a performance.,"['jazz fusion', 'r&b/soul', 'easygoing', 'appealing male vocals', 'seductive saxophone', 'mid tempo', 'fun', 'jazzy drum kit', 'live music']",train
country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00008.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00008.npy,8ntKBILZ06k,"This song is a child yodelling .The tempo is medium with an enthusiastic guitar accompaniment. The yodelling is melodic, calm, engaging, and pleasant. The song  has minimal instrumentation with vocal emphasis.","['child singer', 'fast tempo', 'yodelling', 'vocalisation', 'falsetto', 'vocal emphasis', 'country side singing', 'enthusiastic acoustic guitar accompaniment', 'vocalisation', 'no lyrics', 'austria', 'switzerland music', 'energetic', 'enthusiastic', 'pleasant', 'sweet', 'melodic']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00070.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00070.npy,0dPx94RPy2M,This is a jingle piece played in the background of an advertisement video. There are sounds coming from a drill. The piece in the background is an instrumental rock music piece. There is a keyboard and an electric guitar playing the melody while an acoustic sounding drum beat provides the rhythm. The sounds are bland and generic. The piece could be of some use as an advertisement jingle or it could be playing in the background of an instructive/tutorial video.,"['advertisement', 'jingle', 'drill sounds', 'rock music', 'instrumental', 'electric guitar', 'keyboard', 'acoustic sounding drums', 'generic', 'simple tune']",train
jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00021.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00021.npy,KjMRf4egAyA,A female singer sings this soulful melody. The song is slow tempo with a guitar playing a subtle bass line and no other instrumentation. The song is romantic and emotional. The song is soul music with jazz and black gospel influences. The audio quality is poor as it is recorded casually at home.,"['female singer', 'soulful singing', 'guitar bass line', 'slow tempo', 'home video', 'ambient room noises', 'poor audio quality', 'jazz music', 'no percussion instruments', 'subtle bass line', 'emotional', 'romantic', 'love song', 'vocal vibrato', 'soul music', 'black gospel influences', 'guitar accompaniment', 'passionate', 'madly in love', 'together forever']",train
jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00065.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00065.npy,HtSznF9_784,"A female singer sings this jazz scat improvisation. The song is medium fast tempo with jazz drumming, Latin percussion, steady bass line and a piano accompaniment. The song is energetic and highly improvisational.  The song is a live jazz performance with ambient room noises and other disturbances.","['female singer', 'jazz scatting', 'medium fast tempo', 'cymbals crashing', 'latin percussion rhythm', 'piano accompaniment', 'steady bass line', 'screaming vocals', 'love performance', 'ambient room noise', 'vocal jazz', 'scat improvisation', 'poor audio quality', 'jazz drumming', 'improvisation', 'female choir', 'latin jazz music']",train
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00064.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00064.npy,GOujNXEtDmg,"The low quality recording features a hip hop song that consists of flat male vocals, alongside background male ad libs, rapping over boomy bass, punchy kick, slap snare, shimmering hi hats, tinny percussive elements and weird, funny and repetitive percussion. It sounds groovy and boomy, but also muddy and poorly mixed.","['low quality', 'hip hop', 'reverberant vocal chant', 'boomy bass', 'punchy kick', 'slap snare', 'flat male vocal', 'shimmering hi hats', 'tinny percussive elements', 'weird funny repetitive percussion', 'groovy', 'background male ad libs', 'poor mix', 'boomy', 'muddy']",train
country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00058.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00058.npy,A8CJ4YSsUgs,"This is a country pop music piece. There is a female vocalist singing melodically as the lead. The melody comprises various elements such as the electric guitar, the bass guitar, the harmonica and the banjo. There is a rock acoustic drum beat in the rhythmic background. The atmosphere is easygoing. This piece could be the opening theme of a teenage sit-com.","['country pop', 'female vocal', 'melodic singing', 'harmonica', 'electric guitar', 'bass guitar', 'acoustic drums', 'banjo', 'simple tune', 'easygoing']",train
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00093.npy,6PWiDlWmPs0,"A male vocalist sings this romantic song. The tempo is medium fast with keyboard harmony, infectious drumming, steady bass lines and electronic guitar. The song is simple, mellow, tender, sentimental, emotional and mellow. This is a Romantic Soft Rock.","['male vocalist', 'medium fast tempo', 'infectious drumming', 'sentimental', 'mellow', 'tender', 'love song', 'first love', 'pop', 'ost', 'you’ve got mail', 'ending song', 'keyboard harmony', 'steady bass lines', 'violin harmony soft', 'mellow', 'romantic', 'soft rock', 'electric guitar']",train
reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00084.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00084.npy,xt6V3Ic72nE,"This is the live performance of a reggae piece. There is a male vocal hollering while a younger sounding male vocal is singing in a Jamaican accent. An electric guitar is strumming chords in staccato while a bass guitar is playing a groovy bass line. In the rhythmic background, there is an acoustic drum playing a reggae beat. The atmosphere is chill. This piece could be played at beach parties and in the soundtracks of summer vacation-themed movies or TV shows.","['reggae', 'dub', 'live performance', 'male vocal', 'teen male vocal', 'electric guitar', 'bass guitar', 'acoustic guitar', 'groovy', 'laid back', 'fun', 'chill']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00015.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00015.npy,5rsQHo-6DI4,"Mellow rock with a slow drum beat, acoustic strumming guitar, male and female vocalists singing in octaves.","['acoustic guitar strumming', 'slow rock', 'male and female singing in octaves', 'mellow']",train
