split,genre,graph_path,feature_path,ytid,start_s,end_s,caption,tags,mood
train,jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00040.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00040.npy,qm8sJxsZ5VY,30,40,"The song is an instrumental. The song has ambient room noises like hair trimming tones and funny tones. The song has slick drumming rhythm, groovy bass line, guitar rhythm and keyboard accompaniment. The song is groovy and funny. The song is a soundtrack for a funny prank video.","['funky jazz music', 'instrumental music', 'medium tempo', 'funny pranks', 'medium tempo', 'youtube funny videos', 'just for laughs', 'funny video soundtrack', 'funny tones', 'guitar strumming', 'funk jazz hits', 'energising', 'emotional', 'spirited', 'groove', 'trimmer tones', 'groovy bass line', 'keyboard accompaniment', 'slick drumming rhythm']",happy
train,country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00008.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00008.npy,R1RGIgC-xKw,30,40,"This music clip is a Lively Banjo instrumental. The tempo is fast with a spirited Banjo lead harmony. The music is simple, cheerful, happy, festive, upbeat and vivacious. The audio is not very clear as it is a home recording. The music has a country or folk song vibe.","['instrumental', 'fast tempo', 'lively', 'spirited', 'country music', 'folk song', 'regional music', 'banjo', 'banjo lead', 'no accompaniment', 'world music', 'melodious', 'poor audio quality', 'home recording', 'stringed instrument', 'country', 'bluegrass', 'folk', 'high pitched sounds']",energetic
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00070.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00070.npy,zjsWFvUkh7M,30,40,"A male vocalist sings this energetic song. The tempo is fast with enthusiastic drumming , rhythmic electric and keyboard harmony. The song is muffled because of poor audio quality and several sounds that are superimposed on it. There are sounds of water, static, bubbles, scuffling and a female voice speaking. The song is incoherent but from what can be heard it sounds like Pop Rock.","['male vocalist', 'medium  tempo', 'spirited', 'scuffling', 'bubbles', 'sound of water', 'static', 'person talking', 'superimposed sounds over song', 'muffled sound', 'home recording', 'amateur recording', 'rock', 'energetic drumming', 'female voice talking']",energetic
train,jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00021.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00021.npy,nVsAyArtEh0,30,40,The music features an electric guitar playing what sounds to be a solo over a backing track or an actual recording of a song. The notes played in this passage are played fast. The vocabulary used by the guitarist resembles that of the jazz-fusion genre.,"['electric guitar', 'solo', 'backing track', 'fast notes', 'jazz-fusion genre']",energetic
train,jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00065.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00065.npy,V1A4wBgvPgI,250,260,This jazz song features the main melody played on a flugelhorn and a saxophone. Both instruments play in harmony with variations in melody. These instruments compliment each other. This is accompanied by percussion playing a jazz beat with constant strokes on the ride cymbal. The bass guitar plays a groovy bassline starting with a descending lick. This is then followed with an ascending lick to reach the higher notes before descending back. The guitar plays chords with string muting in a jazz rhythm.  The mood of this song is upbeat. This song can be played in an advertisement for a luxury car.,"['jazz', 'flugelhorn', 'saxophone', 'percussion', 'groovy bass', 'jazz guitar', 'moderate tempo', 'happy mood', 'no voices', 'instrumental']",happy
train,hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00064.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00064.npy,cbq6Q2htPRM,30,40,"The music contains an energetic female voice which is sharp and clear. It is between rapping and singing. In the background are electronic music effects, at medium to high pitch. The atmosphere is smooth and confident. A drum kit plays a mid tempo pattern and It is very digital sounding.","['female singer', 'r&b', 'hip-hop', 'fuzzy synth', 'kick', 'guitar', 'electronic bass', 'smooth', 'electronic drum kit']",energetic
train,country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00058.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00058.npy,whIj6mrUGzQ,30,40,Someone is playing an acoustic guitar while a female voice is singing/yodeling in a higher pitch. in the background voices can be heard. This is an amateur recording. This song may be playing at a local folk-event.,"['country/yodeling', 'acoustic guitars', 'female voice singing/yodeling', 'higher register', 'amateur recording', 'slow tempo', 'background voices']",calm
train,pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00093.npy,qknDM3pcoD0,140,150,"This song carries a powerful air of conviction with it that is aided by  the singer's soulful performance. It's a heartbreak song and although it feels sad, it also feels like a reclamation of power. It's a live performance with a full band including guitarists, violinists, a pianist and a drummer who plays a pop beat. The genre for this song could be classified as pop-soul.","['live performance', 'soulful song', 'soulful female singer', 'electric guitars', 'violins', 'piano', 'simple pop drum beat', 'emotional', 'heartbreak', 'conviction', 'powerful']",energetic
train,reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00084.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00084.npy,Ou2rEaq28PM,350,360,This is a reggae/dub music piece. There is a fat sounding bass guitar playing a groovy bass line. An electric guitar with heavy delay and reverb effects is playing a vague tune. There is a reggae acoustic drum beat in the rhythmic background. The atmosphere is trippy. This piece could be used in the soundtrack of a movie during scenes where a character would be under the influence of substances.,"['reggae', 'dub', 'electric guitar', 'heavy effects', 'bass guitar', 'acoustic drums', 'chill', 'trippy', 'groovy']",neutral
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00015.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00015.npy,hVVrl9FkKnY,240,250,"This is an instrumental rock music piece recording in the style of blues. There is an electric guitar playing a solo using the shredding technique. The backing track consists of a piano, a bass guitar and acoustic drums. There is a groovy feel to it. Parts of this recording could be sampled for use in beat-making.","['rock music', 'jam', 'no singer', 'instrumental', 'electric guitar', 'guitar solo', 'shredding', 'backing track', 'piano', 'bass guitar', 'acoustic drums', 'groovy', 'blues']",neutral
train,country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00078.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00078.npy,lwQVcLxFBIQ,20,30,A male voice is singing in the mid range accompanied by acoustic drums with a groove on the ride cymbal and a bass playing a simple line. In the background you can hear a keyboard playing short chords while a trumpet is playing its own melody at the end of the singer's phrases.  This song may be playing in a repair workshop.,"['country/rock', 'acoustic drums', 'male voice singing', 'e-bass', 'trumpet', 'keys', 'medium tempo', 'uplifting mood']",happy
train,pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00029.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00029.npy,SLq-Co_szYo,30,40,"This song is an upbeat pop song. The tempo is medium fast with energetic drumming, groovy bass lines, keyboard harmony, synthesiser arrangements and female vocal riff. The song is fresh, youthful, perky, catchy, cheerful and energetic. There are sounds of wind, breeze and some metal clanking. This song sounds like a Jingle.","['sound of wind', 'energetic drumming', 'cheerful', 'energetic', 'catchy', 'perky', 'metallic sound', 'ambient nature music', 'punchy basslines', 'keyboard harmony', 'synthesiser arrangements', 'whooshing sound', 'windy', 'breezy', 'catchy vocal riff', 'female choral harmony', 'perky', 'peppy', 'cheerful', 'energetic', 'melodious', 'pop', 'jingle']",energetic
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00042.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00042.npy,-Umconw-CRE,30,40,"The low quality recording features a cover of a rock song with a rock instrumental playback playing in the background and electric guitar solo melody playing on top of it. It sounds muffled and noisy, as it was probably recorded with a low quality microphone, but it is still passionate and emotional.","['low quality', 'noisy', 'muffled', 'electric guitar solo melody', 'cover', 'rock instrumental playback', 'passionate', 'emotional']",romantic
train,metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00015.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00015.npy,2xQuWif8axE,30,40,This is a live recording of an instrumental progressive metal piece. A solo is being played on the electric guitar at a very fast pace using the technique of shredding. Rapid jumps from medium to high range notes can be heard. The atmosphere is aggressive.,"['live recording', 'progressive metal', 'instrumental', 'no singer', 'single instrument', 'electric guitar', 'guitar solo', 'shredding', 'fast-paced', 'aggressive']",energetic
train,pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00051.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00051.npy,pqsU95TNNP8,220,230,"The low quality recording features a cover of a pop song and it features passionate female vocal singing over acoustic rhythm guitar. There is a quiet playback playing in the background - it sounds like it is coming from headphones. The recording is a bit resonant and noisy, but it sounds emotional and heartfelt regardless.","['low quality', 'cover', 'pop', 'passionate female vocal', 'acoustic rhythm guitar', 'quiet playback', 'noisy', 'resonant', 'emotional', 'heartfelt']",romantic
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00011.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00011.npy,KV99GJg0tvA,30,40,This is a doo wop music piece. There are male vocals singing melodically. The main tune is being played by the electric guitar and the keyboard while the bass guitar is playing in the background. The rhythm is provided by the acoustic drums. The atmosphere is danceable and joyful. This piece could be playing at a dance club for an oldies night.,"['doo wop', 'rock', 'male vocals', 'melodic singing', 'electric guitar', 'bass guitar', 'keyboard', 'acoustic drums', 'danceable', 'energetic', 'joyful']",energetic
train,pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00012.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00012.npy,XaqVAF-ADWU,10,20,"This song is a vocal duet of male singers in a foreign language . The tempo is medium fast with an animated electric guitar melody, boomy bass drops, digital drums and synthesiser arrangements. The music is buoyant, youthful,punchy, groovy and emphatic with mellow vocals. This song is contemporary Pop.","['male vocalist', 'duet', 'medium fast tempo', 'foreign language', 'electric guitar lead', 'boomy bass drops', 'synthesiser arrangements', 'cymbals', 'electronic sounds', 'digital drums', 'youthful', 'energetic', 'enthusiastic', 'groovy', 'punchy music', 'mellow vocals', 'electro pop']",energetic
train,pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00045.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00045.npy,IPO79GrOYjg,270,280,"A male singer sings this passionately with backup singers in vocal harmony. The song is medium tempo with a steady drumming rhythm, various percussion, percussive bass line, guitar rhythm and keyboard harmony . The song is passionate and romantic with a cool dance groove. The song has poor audio quality.","['male singer', 'backup singers', 'african rhythms', 'poor audio quality', 'guitar rhythm', 'xylophone', 'vocal harmony', 'groovy drumming rhythm', 'percussive bass line', 'various percussion hits', 'medium tempo', 'groovy dance rhythm', 'pop hits', 'dance hits', 'love song', 'passionate', 'emotional', 'spirited', 'bad audio quality', 'high pitched singing', 'romantic']",romantic
train,blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00011.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00011.npy,NlUf1ppoSG4,130,140,"This music is instrumental , the tempo is slow with an electric guitar lead and a strong bass guitar accompaniment. The music is assertive and emphatic but sounds sad, melancholic,nostalgic, romantic , wistful and sentimental. This music is Blues Harmony.","['instrumental', 'slow tempo', 'electric guitar lead', 'melancholic', 'nostalgia', 'sad', 'wistful', 'romantic', 'sentimental', 'emotional', 'bass guitar accompaniment', 'groovy', 'blues', 'r&b', 'jazz', 'dissonant harmony', 'melancholic', 'somber', 'blues lessons', 'electric guitar lesson', 'simple melody']",sad
train,classical,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\classical\classical.00090.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\classical\classical.00090.npy,YAYp2E5vMNw,310,320,"The low quality recording features a live performance of a classical song that consists of sustained strings, woodwinds melody, aggressive strings lick, wooden percussion and repetitive violin melody. It sounds suspenseful and intense.","['low quality', 'live performance', 'classical', 'sustained strings', 'woodwinds melody', 'aggressive strings lick', 'wooden percussion', 'repetitive violin melody', 'suspenseful', 'intense']",dark
train,blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00035.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00035.npy,CD3OyaDW348,30,40,"A jazz organ trio playing a swing blues song with a male singer accompanied by electric guitar, Hammond organ, a steady ride pattern on the cymbals. The whole band hits on beat one with the drum breaks, as is common in this style of music.","['jazz', 'swing', 'blues', 'jazz electric guitar', 'male vocalist', 'drum breaks', 'organ trio', 'hammond organ', 'b3', 'steady ride pattern']",neutral
train,reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00056.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00056.npy,Ex0ukzO5z9M,30,40,"The low quality recording features a reggae song that consists of passionate male vocal singing over groovy bass, simple hi hats and punchy snare. There are some loud stuttering low frequency audio crackly noises in the recording, which makes it a bit uncomfortable to listen. It sounds groovy and chill regardless.","['low quality', 'noisy', 'reggae', 'passionate male vocal', 'loud stuttering low frequency audio crackle', 'groovy bass', 'simple hi hat', 'punchy snare', 'groovy', 'chill']",romantic
