index,genre,caption,predicted_genre,top_1_similarity,top_1_genre,top_2_genre,top_2_similarity,top_3_genre,top_3_similarity,top_4_genre,top_4_similarity,top_5_genre,top_5_similarity
0,metal,"The song is instrumental.The tempo is fast with a strong metal drumming rhythm, groovy bass line, cymbals crashing, guitar lead and guitar rhythm. The song is chaotic and energetic. The song has very poor audio quality.",disco,0.8457891941070557,disco,rock,0.8336175084114075,blues,0.8235729932785034,hiphop,0.8167740106582642,pop,0.8049317598342896
1,classical,"The low quality recording features a live performance of a classical song that consists of sustained strings and flute melody. There are some chair crackling noises, as well as camera shuttering sounds. It sounds emotional and passionate, and the recording itself is noisy.",jazz,0.8139500021934509,jazz,country,0.8087280988693237,disco,0.7808279991149902,classical,0.7663048505783081,pop,0.749679684638977
2,jazz,"This is a dub/jazz music piece. There is an electric guitar playing the main melody while a fat bass guitar is supporting it in the background. The rhythm is being played by a laid-back acoustic drum beat. The atmosphere is chill and trippy. This piece could be playing in the background at a dance club for a slow dance night. It could also be used in the soundtrack of a romance movie that takes place in the city, especially during intimate scenes.",reggae,0.9630389213562012,reggae,hiphop,0.8607838153839111,jazz,0.8606991767883301,disco,0.850242018699646,pop,0.8350337743759155
3,reggae,This audio contains someone playing a melody on steeldrums along to a backing track containing an e-bass playing a melody along with an e-guitar. A kick is being played on every beat. This song may be played on the streets by a busker.,reggae,0.9257400035858154,reggae,jazz,0.8723204731941223,hiphop,0.8629772663116455,pop,0.8612474799156189,disco,0.8294005393981934
4,rock,This progressive rock song features male voices singing the chords of the song. This is followed by a male voice singing the main melody. The remaining male voices sing backing voices which are the arpeggiated chords of the song. A shaker is played at the beginning of the song. There are no other instruments. This song is at a moderate tempo. This is an amateur recording. The sounds of the crowd clapping and cheering are also heard in this clip.,disco,0.9165666103363037,disco,jazz,0.9001301527023315,hiphop,0.8487093448638916,pop,0.84173583984375,reggae,0.8349899053573608
5,classical,"The low quality recording features a classical orchestra music that consists of wide strings, pulsating woodwind melody, glissando harp melody and heartbeat low tom hits. It sounds spooky, vintage, haunting, suspenseful and intense, like something you would hear as background music in a movie.",disco,0.9068046808242798,disco,jazz,0.9006468057632446,country,0.8558937311172485,pop,0.8377985954284668,hiphop,0.8199870586395264
6,metal,"The low quality recording features a passionate female vocal, alongside harmonizing vocals, singing over wooden percussion, playing as the background music, while there are birds chirping, cows mooing and metallic impacts sounds. The recording is mono and noisy.",disco,0.8352950215339661,disco,hiphop,0.8151310682296753,jazz,0.7835010290145874,pop,0.7678629755973816,country,0.7500417232513428
7,classical,This audio contains someone playing a classical melody on an acoustic guitar using fingerstyle. This audio is full of reverb. This song may be playing at a talent show.,jazz,0.890204668045044,jazz,reggae,0.8744939565658569,pop,0.8362315893173218,disco,0.7691015005111694,hiphop,0.7618504762649536
8,jazz,"This is an instrumental jazz improvisation piece with heavy bossa nova influences. There is an over-arching bossa nova syncopation not only being played by the acoustic drums in the backing track but also followed by the electric rhythm guitar and the bass guitar. The lead is a guitar solo being played by a gentle sounding electric guitar. Although there are complex chords and riffs, the general atmosphere is tranquil. This piece could be playing in the background of a restaurant. It could also be included in the soundtrack of a movie during serene scenery.",jazz,0.9137195348739624,jazz,reggae,0.8897929787635803,blues,0.8659639954566956,disco,0.8214812278747559,pop,0.7558020353317261
9,pop,This children's song features the voices of children singing the  main melody. This is accompanied by percussion playing a simple beat. A keyboard plays the sounds of a marimba to give this song a reggae feel. The bass plays the root notes followed by a run at every chord change. This song has a happy mood. This song can be played in a children's animation movie.,reggae,0.9575634002685547,reggae,jazz,0.8891488313674927,pop,0.8475316762924194,disco,0.8335558176040649,hiphop,0.8226873874664307
