example,index,actual_genre,caption,top_1_genre,top_1_similarity,top_2_genre,top_2_similarity,top_3_genre,top_3_similarity
1,0,metal,"The song is instrumental.The tempo is fast with a strong metal drumming rhythm, groovy bass line, cymbals crashing, guitar lead and guitar rhythm. The song is chaotic and energetic. The song has very poor audio quality.",disco,0.8457891941070557,rock,0.8336175084114075,blues,0.8235729932785034
2,8,jazz,"This is an instrumental jazz improvisation piece with heavy bossa nova influences. There is an over-arching bossa nova syncopation not only being played by the acoustic drums in the backing track but also followed by the electric rhythm guitar and the bass guitar. The lead is a guitar solo being played by a gentle sounding electric guitar. Although there are complex chords and riffs, the general atmosphere is tranquil. This piece could be playing in the background of a restaurant. It could also be included in the soundtrack of a movie during serene scenery.",jazz,0.9137195348739624,reggae,0.8897929787635803,blues,0.8659639954566956
3,16,rock,A drone sound is playing in the lower to mid range as an intro before the song starts with a high pitched bell sound with a very long release time and acoustic drums that sounds like playing behind a closed door. This song may be playing in a club.,reggae,0.8724632859230042,blues,0.80903160572052,jazz,0.807512104511261
4,25,blues,"A female singer sings this soulful song. The song is slow tempo with piano accompaniment, strong bass line and groovy jazz drumming. The song is soulful and emotional. The song is a blues jazz song.",jazz,0.9092327952384949,reggae,0.9012069702148438,blues,0.8649320602416992
5,33,hiphop,This is a pop music piece. There is a male vocalist singing at a medium-to-high pitch in the lead. There is a melodic pad and an electric guitar sound providing the melody. A strong bass sound can be heard playing. The rhythm consists of a simple electronic drum beat. The atmosphere is energetic and danceable. This piece can be played at nightclubs and dance clubs. It could also be used during club scenes in movies.,reggae,0.9071255922317505,pop,0.8725829124450684,disco,0.8666852712631226
6,42,hiphop,"A male vocalist sings this spirited rap. The tempo is medium with keyboard accompaniment, digital drums,electric guitar riff and synthesiser arrangements with vocal backup. The song is passionate, compelling, strong telling, chanting, persuasive and youthful. This song is Contemporary Rap-Hip-Hop.",reggae,0.8949647545814514,hiphop,0.8652888536453247,disco,0.8101584911346436
7,50,pop,"This song is a Retro electronic instrumental. The tempo is fast with electronically arranged music, slick drumming, bright amplified keyboard harmony, tambourine beats,synthesiser arrangements and male and female vocalisation. The song is youthful, groovy,vibrant, upbeat, passionate, catchy and punchy. This song is a Retro EDM.",reggae,0.9277966022491455,hiphop,0.9070883989334106,disco,0.8802686333656311
8,59,country,The song is a slow country song - a country ballad played on a steel guitar. This is the type of song that would be suitable for an old country western movie where a hero character walks into a diner. This is a live recording and the song has a slow tempo.,blues,0.9297009706497192,jazz,0.8476263284683228,reggae,0.7809995412826538
9,67,classical,"This is a classical music piece played on the viola da gamba and the harpsichord. The performance is live, and the song has a refreshing, light and fun ""Spring"" feel to it.",jazz,0.8705810904502869,disco,0.7641894221305847,country,0.7480747103691101
10,76,country,"Punk rock with a country twang, featuring an acoustic guitar strumming, an overdriven electric guitar playing lead, multiple male vocalists, male background vocals and a simple chord progression. The drums play an uptempo country beat, or ""train beat"" more specifically. The kind of band you might hear at a pub in a semi-rural suburb.",blues,0.89149010181427,rock,0.7199200391769409,jazz,0.6990441083908081
