index,genre,caption,actual_tags,Precision@1,Recall@1,F1@1,Precision@3,Recall@3,F1@3,Precision@5,Recall@5,F1@5,Predicted@1,Similarity@1,Predicted@2,Similarity@2,Predicted@3,Similarity@3,Predicted@4,Similarity@4,Predicted@5,Similarity@5
0,metal,"The song is instrumental.The tempo is fast with a strong metal drumming rhythm, groovy bass line, cymbals crashing, guitar lead and guitar rhythm. The song is chaotic and energetic. The song has very poor audio quality.","live band, very poor audio quality, ambient noises, chaotic harmony, bad recording, percussive bass line, metal band, college music festival, heavy metal drumming, guitar strumming, guitar lead, cymbals crashing, chaotic harmony, dissonant harmonies, groovy music, amateur band, youthful, energetic, spirited, teen spirit, instrumental music, fast tempo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energetic drums,0.9537184834480286,steady drumming rhythm,0.95362389087677,slick drumming,0.9420191049575806,smooth bass,0.9414252042770386,steady bass line,0.939027726650238
1,classical,"The low quality recording features a live performance of a classical song that consists of sustained strings and flute melody. There are some chair crackling noises, as well as camera shuttering sounds. It sounds emotional and passionate, and the recording itself is noisy.","low quality, noisy, sustained strings melody, chair crackling sounds, flute melody, classical, live performance, emotional, passionate, camera shuttering sounds",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,acoustic piano,0.9571585059165955,brass section,0.9541044235229492,clarinet,0.9497339725494385,keyboard harmony,0.9449061155319214,trumpet,0.9411324858665466
2,jazz,"This is a dub/jazz music piece. There is an electric guitar playing the main melody while a fat bass guitar is supporting it in the background. The rhythm is being played by a laid-back acoustic drum beat. The atmosphere is chill and trippy. This piece could be playing in the background at a dance club for a slow dance night. It could also be used in the soundtrack of a romance movie that takes place in the city, especially during intimate scenes.","dub, jazz, reggae, electric guitar, bass guitar, acoustic drums, chill, groovy, trippy",1.0,0.1111111111111111,0.19999999999999998,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2,0.1111111111111111,0.14285714285714285,reggae,0.9630389213562012,tambourine beats,0.9472676515579224,funky bass,0.94321608543396,r&b,0.9290715456008911,reggae music,0.9172414541244507
3,reggae,This audio contains someone playing a melody on steeldrums along to a backing track containing an e-bass playing a melody along with an e-guitar. A kick is being played on every beat. This song may be played on the streets by a busker.,"amateur recording, reggae, backing track, e-bass, acoustic drums, steel drums, e-guitar, medium to uptempo",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.16666666666666666,tambourine beats,0.9644677042961121,groovy rhythm,0.9334748983383179,drum machine,0.9297383427619934,funky bass,0.9266580939292908,reggae,0.9257399439811707
4,rock,This progressive rock song features male voices singing the chords of the song. This is followed by a male voice singing the main melody. The remaining male voices sing backing voices which are the arpeggiated chords of the song. A shaker is played at the beginning of the song. There are no other instruments. This song is at a moderate tempo. This is an amateur recording. The sounds of the crowd clapping and cheering are also heard in this clip.,"acapella, male voices, shaker, no other instruments, progressive rock song, amateur recording, crowd clapping, crowd cheering",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,slower tempo,0.9631283283233643,moderate tempo,0.9592469334602356,simple percussion,0.9546731114387512,no vocals,0.9511448740959167,uptempo,0.9507882595062256
5,classical,"The low quality recording features a classical orchestra music that consists of wide strings, pulsating woodwind melody, glissando harp melody and heartbeat low tom hits. It sounds spooky, vintage, haunting, suspenseful and intense, like something you would hear as background music in a movie.","orchestra, low quality, pulsating woodwind melody, classical, glissando harp melody, spooky, wide strings melody, heartbeat low tom hits, vintage, movie score, suspenseful, intense, haunting",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,medium tempo,0.9639345407485962,fast tempo,0.9571881890296936,instrumental,0.9524881839752197,simple percussion,0.9514316916465759,slow tempo,0.9500718116760254
6,metal,"The low quality recording features a passionate female vocal, alongside harmonizing vocals, singing over wooden percussion, playing as the background music, while there are birds chirping, cows mooing and metallic impacts sounds. The recording is mono and noisy.","low quality, mono, noisy, passionate female vocal, harmonizing vocals, wooden percussions, mooing cow sound, metallic impacts, birds chirping",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple percussion,0.9417840242385864,electronic drums,0.9387705326080322,no vocals,0.9259098768234253,no percussion,0.9205071926116943,slower tempo,0.9173528552055359
7,classical,This audio contains someone playing a classical melody on an acoustic guitar using fingerstyle. This audio is full of reverb. This song may be playing at a talent show.,"amateur recording, classical, fingerstile acoustic guitar, fast tempo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reggae song,0.9595017433166504,drum machine,0.9276237487792969,tambourine beats,0.9275184869766235,tambourine,0.9187263250350952,synthesiser arrangements,0.917743444442749
8,jazz,"This is an instrumental jazz improvisation piece with heavy bossa nova influences. There is an over-arching bossa nova syncopation not only being played by the acoustic drums in the backing track but also followed by the electric rhythm guitar and the bass guitar. The lead is a guitar solo being played by a gentle sounding electric guitar. Although there are complex chords and riffs, the general atmosphere is tranquil. This piece could be playing in the background of a restaurant. It could also be included in the soundtrack of a movie during serene scenery.","jam, jazz, bossa nova, no singer, instrumental, electric guitar, guitar solo, bass guitar, acoustic drums, soft, sensual, tranquil",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.14285714285714285,funky bass,0.9421868324279785,guitar strumming,0.9393863677978516,jazzy,0.9367060661315918,groovy bass line,0.9200196266174316,jazz,0.9137194752693176
9,pop,This children's song features the voices of children singing the  main melody. This is accompanied by percussion playing a simple beat. A keyboard plays the sounds of a marimba to give this song a reggae feel. The bass plays the root notes followed by a run at every chord change. This song has a happy mood. This song can be played in a children's animation movie.,"children's song, children's voice, bass lick, keyboard music, simple percussion, pop song, reggae feel, moderate tempo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reggae,0.9575634598731995,reggae song,0.9567067623138428,tambourine beats,0.9507904648780823,drum machine,0.9408876895904541,reggae music,0.9289544820785522
