index,genre,caption,actual_tags,predicted_top_5
0,metal,"The song is instrumental.The tempo is fast with a strong metal drumming rhythm, groovy bass line, cymbals crashing, guitar lead and guitar rhythm. The song is chaotic and energetic. The song has very poor audio quality.","live band, very poor audio quality, ambient noises, chaotic harmony, bad recording, percussive bass line, metal band, college music festival, heavy metal drumming, guitar strumming, guitar lead, cymbals crashing, chaotic harmony, dissonant harmonies, groovy music, amateur band, youthful, energetic, spirited, teen spirit, instrumental music, fast tempo","energetic drums, steady drumming rhythm, slick drumming, smooth bass, steady bass line"
8,jazz,"This is an instrumental jazz improvisation piece with heavy bossa nova influences. There is an over-arching bossa nova syncopation not only being played by the acoustic drums in the backing track but also followed by the electric rhythm guitar and the bass guitar. The lead is a guitar solo being played by a gentle sounding electric guitar. Although there are complex chords and riffs, the general atmosphere is tranquil. This piece could be playing in the background of a restaurant. It could also be included in the soundtrack of a movie during serene scenery.","jam, jazz, bossa nova, no singer, instrumental, electric guitar, guitar solo, bass guitar, acoustic drums, soft, sensual, tranquil","funky bass, guitar strumming, jazzy, groovy bass line, jazz"
16,rock,A drone sound is playing in the lower to mid range as an intro before the song starts with a high pitched bell sound with a very long release time and acoustic drums that sounds like playing behind a closed door. This song may be playing in a club.,"rock, acoustic drums, synth bell sound, special effects, uptempo","guitar strumming, funky bass, groovy bassline, acoustic drums, acoustic rhythm guitar"
25,blues,"A female singer sings this soulful song. The song is slow tempo with piano accompaniment, strong bass line and groovy jazz drumming. The song is soulful and emotional. The song is a blues jazz song.","female singer, soul music, jazz music, blues music, jazz and blues, slow tempo, black gospel music influences, special someone, dream of you, missing you, percussive bass line, jazz drumming rhythm, piano accompaniment, emotional, love song, story telling, love you so badly, together forever","funky bass, jazzy, guitar strumming, groovy bass line, groovy rhythm"
33,hiphop,This is a pop music piece. There is a male vocalist singing at a medium-to-high pitch in the lead. There is a melodic pad and an electric guitar sound providing the melody. A strong bass sound can be heard playing. The rhythm consists of a simple electronic drum beat. The atmosphere is energetic and danceable. This piece can be played at nightclubs and dance clubs. It could also be used during club scenes in movies.,"pop, hip-hop, electronic, male vocal, medium-to-high pitch singing, electric guitar sample, melodic pad, strong bass, electronic drums, energetic, danceable, urban","funky bass, disco pop, synth pop, tambourine beats, acoustic drums"
42,hiphop,"A male vocalist sings this spirited rap. The tempo is medium with keyboard accompaniment, digital drums,electric guitar riff and synthesiser arrangements with vocal backup. The song is passionate, compelling, strong telling, chanting, persuasive and youthful. This song is Contemporary Rap-Hip-Hop.","male vocalist, medium tempo, rap, rap hits, digital drum, youthful, street rapper, disco rap, hip-hop, hip-hop hits, rhythmic patter, electronic music, drum machine, synthesiser arrangements, vocal backup, passionate, engaging, compelling, persuasive, street vernacular, slangy lyrics, chanting, recurring beat, amplified guitar","rap, hip-hop, reggae, hip hop, funky bass"
50,pop,"This song is a Retro electronic instrumental. The tempo is fast with electronically arranged music, slick drumming, bright amplified keyboard harmony, tambourine beats,synthesiser arrangements and male and female vocalisation. The song is youthful, groovy,vibrant, upbeat, passionate, catchy and punchy. This song is a Retro EDM.","instrumental, electro pop, fast tempo, pop hits, retro pop, edm, dance music, club music, workout music, vocalisation, perky, energetic, catchy, upbeat, synthesiser arrangement, tambourine beats, infectious drumming, auto tuned voices, keyboard harmony","synth pop, r&b, disco pop, reggae, funk"
59,country,The song is a slow country song - a country ballad played on a steel guitar. This is the type of song that would be suitable for an old country western movie where a hero character walks into a diner. This is a live recording and the song has a slow tempo.,"steel guitar, country music, live recording, slow country music, country ballad, arpeggio, intricate steel guitar playing, country western, vintage country","groovy bass line, groovy bass lines, acoustic rhythm guitar, guitar strumming, country blues"
67,classical,"This is a classical music piece played on the viola da gamba and the harpsichord. The performance is live, and the song has a refreshing, light and fun ""Spring"" feel to it.","live performance, classical music, live recording, viola da gamba, harpsichord, soothing, whimsical, magical, light, fresh","instrumental, string section, piano, sustained strings melody, brass melody"
76,country,"Punk rock with a country twang, featuring an acoustic guitar strumming, an overdriven electric guitar playing lead, multiple male vocalists, male background vocals and a simple chord progression. The drums play an uptempo country beat, or ""train beat"" more specifically. The kind of band you might hear at a pub in a semi-rural suburb.","punk rock, twang, cow punk, acoustic guitar strumming, overdriven electric guitar lead, multiple male vocalists, male background vocals, uptempo country beat, train beat, simple chord progression, pub","country blues, groovy bass guitar, groovy bass, groovy bassline, groovy bass line"
