genre,graph_path,feature_path
jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00040.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00040.npy
country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00008.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00008.npy
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00070.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00070.npy
jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00021.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00021.npy
jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00065.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00065.npy
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00064.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00064.npy
country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00058.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00058.npy
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00093.npy
reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00084.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00084.npy
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00015.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00015.npy
country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00078.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00078.npy
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00029.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00029.npy
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00042.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00042.npy
metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00015.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00015.npy
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00051.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00051.npy
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00011.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00011.npy
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00012.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00012.npy
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00045.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00045.npy
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00011.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00011.npy
classical,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\classical\classical.00090.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\classical\classical.00090.npy
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00035.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00035.npy
reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00056.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00056.npy
metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00028.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00028.npy
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00093.npy
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00094.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00094.npy
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00084.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00084.npy
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00091.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00091.npy
disco,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\disco\disco.00041.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\disco\disco.00041.npy
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00037.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00037.npy
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00086.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00086.npy
reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00071.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00071.npy
